Date,Start (ET),Visitor,PTS,Home,PTS,,,Attend.,Notes,v_player1,v_player2,v_player3,v_player4,v_player5,h_player1,h_player2,h_player3,h_player4,h_player5
Tue Oct 16 2018,8:00p,Philadelphia 76ers,87,Boston Celtics,105,Box Score,,18624,,Ben Simmons,Joel Embiid,Robert Covington,Markelle Fultz,Dario Saric,Al Horford,Kyrie Irving,Jayson Tatum,Jaylen Brown,Gordon Hayward,
Tue Oct 16 2018,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,19596,,Paul George,Steven Adams,Dennis Schroder,Terrance Ferguson,Patrick Patterson,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,Damian Jones,
Wed Oct 17 2018,7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,17889,,Malcolm Brogdon,Giannis Antetokounmpo,Eric Bledsoe,Khris Middleton,Brook Lopez,Kemba Walker,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,
Wed Oct 17 2018,7:00p,Brooklyn Nets,100,Detroit Pistons,103,Box Score,,20332,,Joe Harris,Jared Dudley,Caris LeVert,Jarrett Allen,D'Angelo Russell,Reggie Jackson,Blake Griffin,Andre Drummond,Luke Kennard,Bruce Brown,
Wed Oct 17 2018,8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,18055,,Anthony Davis,Jrue Holiday,Elfrid Payton,E'Twaun Moore,Nikola Mirotic,James Harden,P.J. Tucker,Chris Paul,Clint Capela,James Ennis,
Wed Oct 17 2018,7:00p,Memphis Grizzlies,83,Indiana Pacers,111,Box Score,,17923,,Marc Gasol,Mike Conley,JaMychal Green,Garrett Temple,Chandler Parsons,Thaddeus Young,Bojan Bogdanovic,Victor Oladipo,Darren Collison,Myles Turner,
Wed Oct 17 2018,10:30p,Denver Nuggets,107,Los Angeles Clippers,98,Box Score,,19068,,Will Barton,Gary Harris,Nikola Jokic,Jamal Murray,Paul Millsap,Tobias Harris,Danilo Gallinari,Avery Bradley,Patrick Beverley,Marcin Gortat,
Wed Oct 17 2018,7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,18249,,Trae Young,Taurean Waller-Prince,Kent Bazemore,Vince Carter,Alex Len,Frank Ntilikina,Tim Hardaway,Enes Kanter,Trey Burke,Lance Thomas,
Wed Oct 17 2018,7:00p,Miami Heat,101,Orlando Magic,104,Box Score,,19191,,Josh Richardson,Hassan Whiteside,Goran Dragic,Rodney McGruder,Derrick Jones,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Jonathan Isaac,
Wed Oct 17 2018,10:30p,Dallas Mavericks,100,Phoenix Suns,121,Box Score,,18055,,Wesley Matthews,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith,Trevor Ariza,Deandre Ayton,Isaiah Canaan,Devin Booker,Ryan Anderson,
