Date,Start (ET),Visitor,PTS,Home,PTS,,,Attend.,Notes,v_player1,v_player2,v_player3,v_player4,v_player5,h_player1,h_player2,h_player3,h_player4,h_player5
Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97,Box Score,,18165,,Arron Afflalo,Nikola Vucevic,Jameer Nelson,Jason Maxiell,Maurice Harkless,Paul George,Lance Stephenson,David West,George Hill,Roy Hibbert,
Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,18997,,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Pau Gasol,Steve Blake,Nick Young,Steve Nash,Shawne Williams,
Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107,Box Score,,19964,,Derrick Rose,Carlos Boozer,Jimmy Butler,Luol Deng,Joakim Noah,LeBron James,Dwyane Wade,Chris Bosh,Mario Chalmers,Udonis Haslem,
Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,20562,,Joe Johnson,Brook Lopez,Paul Pierce,Kevin Garnett,Deron Williams,Tristan Thompson,Anderson Varejao,Kyrie Irving,Dion Waiters,Earl Clark,
Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,19834,,Paul Millsap,Kyle Korver,DeMarre Carroll,Jeff Teague,Al Horford,Monta Ellis,Jose Calderon,Dirk Nowitzki,Shawn Marion,Samuel Dalembert,
Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113,Box Score,,19258,,John Wall,Bradley Beal,Trevor Ariza,Nene Hilario,Trevor Booker,Greg Monroe,Josh Smith,Will Bynum,Chauncey Billups,Andre Drummond,
Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,19596,,Steve Blake,Pau Gasol,Jodie Meeks,Nick Young,Shawne Williams,Klay Thompson,Andre Iguodala,David Lee,Stephen Curry,Andrew Bogut,
Wed Oct 30 2013,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,18083,,Kemba Walker,Gerald Henderson,Michael Kidd-Gilchrist,Al Jefferson,Josh McRoberts,Chandler Parsons,James Harden,Dwight Howard,Omer Asik,Patrick Beverley,
Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,17988,,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Maurice Harkless,Jason Maxiell,Kevin Martin,Kevin Love,Ricky Rubio,Corey Brewer,Nikola Pekovic,
Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,17803,,Lance Stephenson,Paul George,George Hill,David West,Roy Hibbert,Anthony Davis,Jrue Holiday,Eric Gordon,Al-Farouq Aminu,Jason Smith,
Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,,19812,,O.J. Mayo,Caron Butler,Khris Middleton,Larry Sanders,Brandon Knight,Carmelo Anthony,Pablo Prigioni,Raymond Felton,Iman Shumpert,Tyson Chandler,
Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,,19523,,LeBron James,Chris Bosh,Mario Chalmers,Roger Mason,Udonis Haslem,Evan Turner,Michael Carter-Williams,James Anderson,Thaddeus Young,Spencer Hawes,
Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,17208,,Damian Lillard,LaMarcus Aldridge,Nicolas Batum,Robin Lopez,Wesley Matthews,Goran Dragic,Miles Plumlee,Eric Bledsoe,P.J. Tucker,Channing Frye,
Wed Oct 30 2013,10:00 pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,,17317,,Ty Lawson,J.J. Hickson,Randy Foye,Anthony Randolph,JaVale McGee,DeMarcus Cousins,Greivis Vasquez,Marcus Thornton,Patrick Patterson,John Salmons,
Wed Oct 30 2013,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,18581,,Marc Gasol,Tony Allen,Mike Conley,Zach Randolph,Tayshaun Prince,Tony Parker,Kawhi Leonard,Tiago Splitter,Danny Green,Tim Duncan,
Wed Oct 30 2013,7:00 pm,Boston Celtics,87,Toronto Raptors,93,Box Score,,20155,,Gerald Wallace,Jeff Green,Brandon Bass,Avery Bradley,Vitor Faverani,DeMar DeRozan,Kyle Lowry,Rudy Gay,Jonas Valanciunas,Amir Johnson,
Wed Oct 30 2013,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,19911,,Kevin Durant,Serge Ibaka,Reggie Jackson,Thabo Sefolosha,Kendrick Perkins,Derrick Favors,John Lucas III,Enes Kanter,Gordon Hayward,Richard Jefferson,
Thu Oct 31 2013,8:00 pm,New York Knicks,81,Chicago Bulls,82,Box Score,,22022,,Carmelo Anthony,Raymond Felton,Tyson Chandler,Iman Shumpert,Andrea Bargnani,Jimmy Butler,Luol Deng,Joakim Noah,Derrick Rose,Carlos Boozer,
