Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,,,NBA,,256,53,12.5,2.4,4.8,.502,0.0,0.0,.000,2.4,4.8,.503,.502,0.9,1.3,.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
Zaid Abdul-Aziz,,,NBA,,505,,21.8,3.5,8.2,.428,,,,,,,,2.0,2.8,.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0
Kareem Abdul-Jabbar,,,NBA,,1560,625,36.8,10.2,18.1,.559,0.0,0.0,.056,10.2,18.1,.560,.559,4.3,6.0,.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
Mahmoud Abdul-Rauf,,,NBA,,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
Tariq Abdul-Wahad,,,NBA,,236,145,20.4,3.1,7.3,.417,0.1,0.3,.237,3.0,7.0,.425,.422,1.6,2.2,.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
Shareef Abdur-Rahim,,,NBA,,830,704,34.8,6.5,13.9,.472,0.2,0.6,.297,6.4,13.2,.480,.479,4.8,6.0,.810,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1
Tom Abernethy,,,NBA,,319,,17.0,2.3,4.6,.492,0.0,0.0,.000,2.3,4.6,.493,.492,1.0,1.4,.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6
Forest Able,,,NBA,,1,,1.0,0.0,2.0,.000,,,,,,,,0.0,0.0,,1.0,1.0,1.0,0.0
John Abramovic,,,BAA,,56,,,3.6,15.3,.237,,,,,,,,2.3,3.3,.686,,0.7,3.1,9.5,,,,,
Alex Abrines,,,NBA,,163,16,15.9,1.8,4.6,.387,1.3,3.4,.371,0.5,1.1,.433,.526,0.6,0.6,.875,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.4
Alex Acker,,,NBA,,30,0,7.8,1.1,3.1,.370,0.3,0.8,.320,0.9,2.2,.388,.413,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7
Don Ackerman,,,NBA,,28,,7.9,0.5,2.3,.222,,,,,,,,0.5,1.0,.536,0.5,0.8,1.5,1.5
Mark Acres,,,NBA,,375,68,16.0,1.4,2.7,.506,0.0,0.0,.538,1.4,2.7,.505,.509,0.8,1.2,.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
Bud Acton,,,NBA,,23,,8.5,1.3,3.2,.392,,,,,,,,0.8,1.3,.655,2.0,0.5,1.5,3.3
Quincy Acy,,,NBA,,327,60,16.1,1.8,4.0,.447,0.6,1.6,.356,1.2,2.4,.505,.517,0.9,1.1,.761,0.9,2.6,3.5,0.6,0.4,0.4,0.7,2.0,5.0
